Year,Month,Day,hour,DBT,DP,RH,GHR,DNR,DHR
1994,1,14,20,24.3,20.2,78,0,0,0
1994,1,14,21,23.6,21.9,90,0,0,0
1994,1,14,22,23,21.6,92,0,0,0
1994,1,14,23,22.6,21.4,93,0,0,0
1994,1,14,24,22.3,21.8,97,0,0,0
1994,1,15,1,22.1,21.4,96,0,0,0
1994,1,15,2,21.8,21.3,97,0,0,0
1994,1,15,3,21.6,21.1,97,0,0,0
1994,1,15,4,21.4,20.9,97,0,0,0
1994,1,15,5,21.3,20.8,97,0,0,0
1994,1,15,6,21.3,20.8,97,0,0,0
1994,1,15,7,21.2,20.7,97,6,139,4
1994,1,15,8,21.8,21.3,97,129,277,74
1994,1,15,9,24.4,22.8,91,320,405,154
1994,1,15,10,26.3,21.5,75,515,527,206
1994,1,15,11,28.5,21.8,67,609,452,284
1994,1,15,12,29.3,21.8,64,654,394,339
1994,1,15,13,30.3,21.7,60,686,427,336
1994,1,15,14,30.3,21.4,59,640,407,323
1994,1,15,15,30.2,21.8,61,570,453,264
1994,1,15,16,29,22.7,69,401,350,217
1994,1,15,17,28.5,24.1,77,210,218,138
1994,1,15,18,26.8,24.8,89,46,66,38
1994,1,15,19,26.2,25,93,0,0,0
1994,1,15,20,25.9,25,95,0,0,0
1994,1,15,21,25.5,24.6,95,0,0,0
1994,1,15,22,25.5,24.6,95,0,0,0
1994,1,15,23,25.2,24.5,96,0,0,0
1994,1,15,24,25,25,100,0,0,0
1994,1,16,1,25,25,100,0,0,0
1994,1,16,2,24.5,24.3,99,0,0,0
1994,1,16,3,24.2,24.2,100,0,0,0
1994,1,16,4,24.2,24.2,100,0,0,0
1994,1,16,5,24.2,24.2,100,0,0,0
1994,1,16,6,24.1,24.1,100,0,0,0
1994,1,16,7,24.3,24.3,100,6,48,5
1994,1,16,8,24.3,24.3,100,93,95,74
1994,1,16,9,25.5,24.3,93,250,176,178
1994,1,16,10,27.4,22.8,76,373,167,275
1994,1,16,11,28.7,22.2,68,510,235,341
1994,1,16,12,28.1,23,74,572,234,385
1994,1,16,13,28.9,22.4,68,610,273,386
1994,1,16,14,29.8,22.3,64,685,506,290
1994,1,16,15,29.7,21.6,62,636,625,212
1994,1,16,16,29,22,66,475,581,169
1994,1,16,17,27.8,22.7,74,261,425,120
1994,1,16,18,26.8,24.3,86,65,184,43
1994,1,16,19,26.3,24.3,89,0,0,0
1994,1,16,20,25.9,24.1,90,0,0,0
1994,1,16,21,25.8,24.4,92,0,0,0
1994,1,16,22,25.8,24.4,92,0,0,0
1994,1,16,23,25.5,24.1,92,0,0,0
1994,1,16,24,25.3,23.9,92,0,0,0
1994,1,17,1,24.9,23.5,92,0,0,0
1994,1,17,2,24.8,23.4,92,0,0,0
1994,1,17,3,24.8,23.8,94,0,0,0
1994,1,17,4,24.8,23.8,94,0,0,0
1994,1,17,5,24.8,23.8,94,0,0,0
1994,1,17,6,24.8,23.8,94,0,0,0
1994,1,17,7,24.7,23.7,94,6,58,5
1994,1,17,8,25.8,24.2,91,98,116,75
1994,1,17,9,27.5,24.2,82,293,304,168
1994,1,17,10,28.7,22.2,68,477,411,235
1994,1,17,11,29.6,22.3,65,631,501,269
1994,1,17,12,29.7,22.2,64,727,554,282
1994,1,17,13,30,22.7,65,746,556,289
